group,variable,value,
1987,Denmark,99,
1987,Iceland,100,
1987,Norway,373,
1987,VC,2,
1987,Japan,1082,
1987,Korea,0,
1987,USA,32,
1987,Russia,158,
1987,Indonesia,7,
1987,Portugal ,3,
1987,Canada,0,
1988,Denmark,129,
1988,Iceland,78,
1988,Norway,29,
1988,VC,1,
1988,Japan,241,
1988,Korea,0,
1988,USA,30,
1988,Russia,150,
1988,Indonesia,7,
1988,Portugal ,0,
1988,Canada,0,
1989,Denmark,91,
1989,Iceland,68,
1989,Norway,17,
1989,VC,0,
1989,Japan,330,
1989,Korea,0,
1989,USA,29,
1989,Russia,179,
1989,Indonesia,4,
1989,Portugal ,0,
1989,Canada,0,
1990,Denmark,115,
1990,Iceland,0,
1990,Norway,5,
1990,VC,0,
1990,Japan,0,
1990,Korea,0,
1990,USA,44,
1990,Russia,162,
1990,Indonesia,12,
1990,Portugal ,0,
1990,Canada,0,
1991,Denmark,125,
1991,Iceland,0,
1991,Norway,1,
1991,VC,0,
1991,Japan,288,
1991,Korea,0,
1991,USA,47,
1991,Russia,169,
1991,Indonesia,14,
1991,Portugal ,0,
1991,Canada,0,
1992,Denmark,137,
1992,Iceland,0,
1992,Norway,95,
1992,VC,2,
1992,Japan,330,
1992,Korea,0,
1992,USA,50,
1992,Russia,0,
1992,Indonesia,7,
1992,Portugal ,0,
1992,Canada,0,
1993,Denmark,130,
1993,Iceland,0,
1993,Norway,226,
1993,VC,2,
1993,Japan,0,
1993,Korea,0,
1993,USA,52,
1993,Russia,0,
1993,Indonesia,10,
1993,Portugal ,0,
1993,Canada,0,
1994,Denmark,131,
1994,Iceland,0,
1994,Norway,280,
1994,VC,0,
1994,Japan,351,
1994,Korea,0,
1994,USA,46,
1994,Russia,44,
1994,Indonesia,27,
1994,Portugal ,0,
1994,Canada,1,
1995,Denmark,174,
1995,Iceland,0,
1995,Norway,218,
1995,VC,0,
1995,Japan,540,
1995,Korea,0,
1995,USA,59,
1995,Russia,90,
1995,Indonesia,38,
1995,Portugal ,0,
1995,Canada,0,
1996,Denmark,196,
1996,Iceland,0,
1996,Norway,388,
1996,VC,1,
1996,Japan,517,
1996,Korea,0,
1996,USA,43,
1996,Russia,43,
1996,Indonesia,18,
1996,Portugal ,0,
1996,Canada,2,
1997,Denmark,175,
1997,Iceland,0,
1997,Norway,503,
1997,VC,0,
1997,Japan,538,
1997,Korea,0,
1997,USA,66,
1997,Russia,79,
1997,Indonesia,22,
1997,Portugal ,0,
1997,Canada,0,
1998,Denmark,187,
1998,Iceland,0,
1998,Norway,625,
1998,VC,2,
1998,Japan,490,
1998,Korea,0,
1998,USA,54,
1998,Russia,126,
1998,Indonesia,31,
1998,Portugal ,0,
1998,Canada,1,
1999,Denmark,196,
1999,Iceland,0,
1999,Norway,591,
1999,VC,2,
1999,Japan,539,
1999,Korea,0,
1999,USA,48,
1999,Russia,124,
1999,Indonesia,6,
1999,Portugal ,0,
1999,Canada,0,
2000,Denmark,162,
2000,Iceland,0,
2000,Norway,487,
2000,VC,3,
2000,Japan,532,
2000,Korea,2,
2000,USA,47,
2000,Russia,116,
2000,Indonesia,10,
2000,Portugal ,0,
2000,Canada,1,
2001,Denmark,166,
2001,Iceland,0,
2001,Norway,552,
2001,VC,2,
2001,Japan,611,
2001,Korea,1,
2001,USA,75,
2001,Russia,113,
2001,Indonesia,35,
2001,Portugal ,0,
2001,Canada,0,
2002,Denmark,164,
2002,Iceland,0,
2002,Norway,634,
2002,VC,2,
2002,Japan,688,
2002,Korea,1,
2002,USA,50,
2002,Russia,134,
2002,Indonesia,28,
2002,Portugal ,0,
2002,Canada,1,
2003,Denmark,209,
2003,Iceland,37,
2003,Norway,647,
2003,VC,1,
2003,Japan,704,
2003,Korea,5,
2003,USA,41,
2003,Russia,131,
2003,Indonesia,18,
2003,Portugal ,0,
2003,Canada,0,
2004,Denmark,204,
2004,Iceland,25,
2004,Norway,544,
2004,VC,0,
2004,Japan,755,
2004,Korea,8,
2004,USA,44,
2004,Russia,112,
2004,Indonesia,14,
2004,Portugal ,0,
2004,Canada,0,
2005,Denmark,193,
2005,Iceland,39,
2005,Norway,639,
2005,VC,2,
2005,Japan,1243,
2005,Korea,3,
2005,USA,68,
2005,Russia,126,
2005,Indonesia,5,
2005,Portugal ,0,
2005,Canada,1,
2006,Denmark,197,
2006,Iceland,68,
2006,Norway,545,
2006,VC,1,
2006,Japan,866,
2006,Korea,2,
2006,USA,39,
2006,Russia,137,
2006,Indonesia,4,
2006,Portugal ,0,
2006,Canada,0,
2007,Denmark,181,
2007,Iceland,45,
2007,Norway,597,
2007,VC,1,
2007,Japan,872,
2007,Korea,22,
2007,USA,64,
2007,Russia,131,
2007,Indonesia,43,
2007,Portugal ,0,
2007,Canada,0,
2008,Denmark,168,
2008,Iceland,38,
2008,Norway,536,
2008,VC,2,
2008,Japan,1004,
2008,Korea,6,
2008,USA,50,
2008,Russia,132,
2008,Indonesia,34,
2008,Portugal ,0,
2008,Canada,4,
2009,Denmark,181,
2009,Iceland,206,
2009,Norway,484,
2009,VC,1,
2009,Japan,825,
2009,Korea,16,
2009,USA,38,
2009,Russia,116,
2009,Indonesia,6,
2009,Portugal ,0,
2009,Canada,4,
2010,Denmark,314,
2010,Iceland,208,
2010,Norway,468,
2010,VC,3,
2010,Japan,445,
2010,Korea,12,
2010,USA,71,
2010,Russia,120,
2010,Indonesia,22,
2010,Portugal ,0,
2010,Canada,4,
2011,Denmark,203,
2011,Iceland,58,
2011,Norway,533,
2011,VC,2,
2011,Japan,540,
2011,Korea,21,
2011,USA,51,
2011,Russia,128,
2011,Indonesia,14,
2011,Portugal ,0,
2011,Canada,3,
2012,Denmark,167,
2012,Iceland,52,
2012,Norway,464,
2012,VC,2,
2012,Japan,424,
2012,Korea,4,
2012,USA,69,
2012,Russia,143,
2012,Indonesia,3,
2012,Portugal ,0,
2012,Canada,3,
2013,Denmark,198,
2013,Iceland,169,
2013,Norway,594,
2013,VC,4,
2013,Japan,475,
2013,Korea,12,
2013,USA,57,
2013,Russia,128,
2013,Indonesia,18,
2013,Portugal ,0,
2013,Canada,3,
2014,Denmark,176,
2014,Iceland,161,
2014,Norway,736,
2014,VC,2,
2014,Japan,196,
2014,Korea,11,
2014,USA,53,
2014,Russia,124,
2014,Indonesia,31,
2014,Portugal ,0,
2014,Canada,2,
2015,Denmark,158,
2015,Iceland,184,
2015,Norway,660,
2015,VC,1,
2015,Japan,520,
2015,Korea,16,
2015,USA,49,
2015,Russia,125,
2015,Indonesia,7,
2015,Portugal ,0,
2015,Canada,2,
2016,Denmark,177,
2016,Iceland,46,
2016,Norway,591,
2016,VC,0,
2016,Japan,488,
2016,Korea,0,
2016,USA,62,
2016,Russia,122,
2016,Indonesia,12,
2016,Portugal ,0,
2016,Canada,2,
2017,Denmark,153,
2017,Iceland,17,
2017,Norway,432,
2017,VC,1,
2017,Japan,596,
2017,Korea,2,
2017,USA,58,
2017,Russia,120,
2017,Indonesia,27,
2017,Portugal ,0,
2017,Canada,1,
2018,Denmark,131,
2018,Iceland,152,
2018,Norway,454,
2018,VC,0,
2018,Japan,640,
2018,Korea,2,
2018,USA,69,
2018,Russia,107,
2018,Indonesia,15,
2018,Portugal ,0,
2018,Canada,3,
2019,Denmark,183,
2019,Iceland,0,
2019,Norway,429,
2019,VC,3,
2019,Japan,335,
2019,Korea,6,
2019,USA,36,
2019,Russia,138,
2019,Indonesia,18,
2019,Portugal ,0,
2019,Canada,4,
2020,Denmark,189,
2020,Iceland,0,
2020,Norway,503,
2020,VC,0,
2020,Japan,307,
2020,Korea,2,
2020,USA,69,
2020,Russia,136,
2020,Indonesia,18,
2020,Portugal ,0,
2020,Canada,1,
